,Date,USSWAP1,USSWAP2,USSWAP3,USSWAP4,USSWAP5,USSWAP6,USSWAP7,USSWAP8,USSWAP9,USSWAP10,USSWAP15,USSWAP20,USSWAP25,USSWAP30
0,2013-02-01,0.335,0.423,0.5655,0.781,1.035,1.294,1.534,1.748,1.936,2.1,2.642,2.8745,2.9855,3.0546
1,2013-02-04,0.3375,0.4195,0.5536,0.751,0.996,1.25,1.486,1.698,1.882,2.045,2.587,2.8207,2.933,3.0033
2,2013-02-05,0.3395,0.4295,0.571,0.777,1.026,1.284,1.522,1.735,1.9205,2.086,2.629,2.864,2.976,3.0463
3,2013-02-06,0.328,0.411,0.547,0.748,0.99,1.246,1.4843,1.696,1.881,2.0455,2.5895,2.823,2.936,3.005
4,2013-02-07,0.3265,0.408,0.541,0.741,0.983,1.237,1.4755,1.6883,1.875,2.0427,2.585,2.818,2.93,2.999
5,2013-02-08,0.3265,0.4045,0.538,0.7375,0.9803,1.236,1.471,1.684,1.869,2.034,2.575,2.808,2.919,2.987
6,2013-02-11,0.331,0.416,0.5533,0.7562,1.003,1.2555,1.4915,1.7035,1.886,2.049,2.585,2.8142,2.9241,2.9904
7,2013-02-12,0.334,0.4223,0.5606,0.767,1.017,1.272,1.507,1.719,1.899,2.0654,2.602,2.834,2.943,3.011
8,2013-02-13,0.335,0.4307,0.579,0.7954,1.0539,1.3152,1.5555,1.768,1.954,2.1185,2.6543,2.8842,2.9935,3.06
9,2013-02-14,0.3305,0.4175,0.5548,0.7608,1.008,1.264,1.5015,1.714,1.901,2.065,2.603,2.836,2.946,3.013
10,2013-02-15,0.3345,0.4253,0.559,0.77,1.015,1.2692,1.505,1.7171,1.904,2.0676,2.612,2.848,2.96,3.0286
11,2013-02-19,0.3295,0.4225,0.5694,0.7853,1.044,1.3031,1.5395,1.752,1.9363,2.101,2.647,2.885,2.997,3.067
12,2013-02-20,0.3275,0.415,0.557,0.7665,1.0196,1.28,1.519,1.733,1.92,2.085,2.638,2.877,2.9915,3.062
13,2013-02-21,0.3225,0.404,0.54,0.746,0.996,1.252,1.4885,1.7,1.886,2.051,2.5993,2.837,2.952,3.0215
14,2013-02-22,0.3235,0.4005,0.5321,0.7334,0.9798,1.2369,1.474,1.6873,1.8746,2.04,2.5904,2.8275,2.942,3.012
15,2013-02-25,0.3185,0.3864,0.5042,0.6893,0.923,1.167,1.3941,1.5996,1.7814,1.942,2.49,2.73,2.845,2.915
16,2013-02-26,0.3285,0.392,0.5093,0.696,0.934,1.1828,1.416,1.623,1.8075,1.9705,2.5155,2.7508,2.8641,2.932
17,2013-02-27,0.3305,0.395,0.5138,0.702,0.942,1.1945,1.432,1.6425,1.8277,1.992,2.5369,2.7718,2.885,2.953
18,2013-02-28,0.32,0.3828,0.501,0.6888,0.924,1.174,1.4078,1.618,1.802,1.9665,2.519,2.7595,2.876,2.946
19,2013-03-01,0.313,0.376,0.4933,0.672,0.904,1.1505,1.382,1.589,1.773,1.936,2.4881,2.7271,2.8453,2.915
20,2013-03-04,0.3095,0.3735,0.4949,0.679,0.914,1.1654,1.402,1.6131,1.797,1.961,2.5155,2.7567,2.8725,2.942
21,2013-03-05,0.309,0.378,0.5046,0.6925,0.931,1.1835,1.4205,1.6298,1.814,1.979,2.5323,2.772,2.888,2.9575
22,2013-03-06,0.3095,0.382,0.5143,0.7103,0.9549,1.215,1.4525,1.665,1.8527,2.019,2.5758,2.8185,2.9345,3.0055
23,2013-03-07,0.3135,0.394,0.537,0.749,1.006,1.266,1.509,1.723,1.9105,2.078,2.6328,2.8733,2.989,3.0586
24,2013-03-08,0.3138,0.3985,0.549,0.77,1.036,1.305,1.551,1.769,1.96,2.1275,2.6785,2.9182,3.0324,3.0992
25,2013-03-11,0.3135,0.398,0.5515,0.776,1.044,1.314,1.5628,1.7834,1.973,2.141,2.695,2.934,3.049,3.1157
26,2013-03-12,0.313,0.3938,0.5399,0.7544,1.0133,1.2801,1.528,1.745,1.934,2.102,2.652,2.8899,3.002,3.0695
27,2013-03-13,0.312,0.395,0.546,0.7617,1.021,1.287,1.532,1.748,1.937,2.1035,2.6549,2.893,3.0069,3.0745
28,2013-03-14,0.3185,0.4017,0.549,0.765,1.0234,1.2907,1.539,1.7585,1.95,2.12,2.677,2.919,3.034,3.1035
29,2013-03-15,0.3192,0.392,0.5305,0.735,0.986,1.252,1.5,1.72,1.913,2.0835,2.645,2.8895,3.007,3.077
30,2013-03-18,0.3243,0.396,0.525,0.722,0.971,1.234,1.478,1.6986,1.889,2.058,2.619,2.863,2.9808,3.0493
31,2013-03-19,0.3545,0.422,0.5365,0.721,0.96,1.213,1.4515,1.663,1.849,2.016,2.5702,2.812,2.928,2.997
32,2013-03-20,0.348,0.416,0.5425,0.741,0.99,1.2515,1.4978,1.715,1.907,2.0765,2.6375,2.882,2.9985,3.069
33,2013-03-21,0.3575,0.4255,0.5455,0.734,0.974,1.229,1.469,1.6812,1.869,2.037,2.5845,2.821,2.935,3.002
34,2013-03-22,0.3565,0.4267,0.5493,0.7431,0.989,1.247,1.4873,1.7024,1.8921,2.058,2.607,2.8445,2.957,3.0238
35,2013-03-25,0.352,0.4245,0.5478,0.738,0.982,1.2415,1.484,1.699,1.8905,2.058,2.6096,2.849,2.963,3.0315
36,2013-03-26,0.3555,0.4293,0.55,0.7405,0.9825,1.2421,1.488,1.705,1.8963,2.0653,2.6211,2.863,2.978,3.0452
37,2013-03-27,0.355,0.4203,0.5318,0.7114,0.948,1.1989,1.4371,1.6523,1.8381,2.004,2.556,2.795,2.912,2.98
38,2013-03-28,0.35,0.4165,0.5335,0.718,0.956,1.2105,1.4465,1.652,1.84,2.007,2.563,2.805,2.922,2.993
39,2013-03-29,0.351,0.42,0.5347,0.712,0.9538,1.2063,1.445,1.6578,1.8435,2.007,2.575,2.807,2.9245,2.993
40,2013-04-01,0.344,0.409,0.5235,0.705,0.939,1.1893,1.427,1.639,1.824,1.99,2.542,2.782,2.8972,2.965
41,2013-04-02,0.3389,0.405,0.524,0.713,0.955,1.209,1.448,1.661,1.849,2.0155,2.5683,2.808,2.9232,2.9905
42,2013-04-03,0.33,0.391,0.5031,0.6821,0.914,1.1656,1.4045,1.618,1.8045,1.972,2.525,2.765,2.88,2.9503
43,2013-04-04,0.3235,0.3815,0.4907,0.666,0.892,1.1365,1.37,1.58,1.765,1.931,2.477,2.714,2.827,2.893
44,2013-04-05,0.3185,0.376,0.4815,0.654,0.876,1.1141,1.342,1.546,1.7262,1.885,2.408,2.631,2.736,2.796
45,2013-04-08,0.3235,0.381,0.4899,0.6685,0.8985,1.144,1.3806,1.588,1.772,1.9348,2.4717,2.702,2.813,2.8751
